rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category
540590,333407,mobile,ended,-57.0,,,0- No delay
534264,371451,mobile,ended,-25.0,,,0- No delay
540783,381857,connect,ended,-221.0,,,0- No delay
540811,364530,mobile,ended,-30.0,,,0- No delay
532737,402655,mobile,ended,-106.0,,,0- No delay
532690,406408,mobile,ended,-60.0,,,0- No delay
541298,360624,mobile,ended,-33.0,,,0- No delay
532574,405481,mobile,ended,-11.0,,,0- No delay
564485,290726,connect,ended,-42.0,554952.0,480.0,0- No delay
534781,408406,mobile,ended,-11.0,,,0- No delay
531539,383225,mobile,ended,-56.0,,,0- No delay
530560,367531,mobile,ended,-4.0,,,0- No delay
530246,198687,mobile,ended,-44.0,,,0- No delay
529272,284329,mobile,ended,-55.0,,,0- No delay
529043,193354,mobile,ended,-9.0,,,0- No delay
528062,376369,mobile,ended,-19.0,,,0- No delay
527686,350502,connect,ended,-23.0,,,0- No delay
526980,359705,mobile,ended,-30.0,,,0- No delay
565517,386961,mobile,ended,-33.0,,,0- No delay
526712,305952,mobile,ended,-11.0,,,0- No delay
565754,412916,mobile,ended,-22.0,,,0- No delay
524378,298356,connect,ended,-126.0,,,0- No delay
565838,349302,mobile,ended,-34.0,,,0- No delay
565054,385574,connect,ended,-216.0,,,0- No delay
523429,324315,mobile,ended,-37.0,,,0- No delay
540202,408267,mobile,ended,-115.0,537171.0,30.0,0- No delay
535345,403430,mobile,ended,-13.0,,,0- No delay
569560,290600,connect,ended,-131.0,,,0- No delay
569831,361846,mobile,ended,-90.0,,,0- No delay
570983,355444,connect,ended,-61.0,,,0- No delay
571031,283399,mobile,ended,-5.0,,,0- No delay
537257,364236,mobile,ended,-61.0,,,0- No delay
537231,375621,connect,ended,-14.0,,,0- No delay
572366,389958,mobile,ended,-45.0,,,0- No delay
536798,394781,mobile,ended,-38.0,,,0- No delay
536701,332588,connect,ended,-58.0,,,0- No delay
536509,281116,mobile,ended,-79.0,529888.0,180.0,0- No delay
573462,160062,mobile,ended,-88.0,,,0- No delay
540072,312603,connect,ended,-158.0,,,0- No delay
573520,392490,mobile,ended,-81.0,,,0- No delay
536246,325139,mobile,ended,-86.0,,,0- No delay
573893,335276,connect,ended,-19.0,,,0- No delay
574755,373802,mobile,ended,-16.0,571574.0,30.0,0- No delay
535796,406475,mobile,ended,-26.0,,,0- No delay
539671,405315,mobile,ended,-82.0,,,0- No delay
535490,341484,mobile,ended,-20.0,,,0- No delay
539679,349986,mobile,ended,-121.0,,,0- No delay
539806,392080,mobile,ended,-24.0,,,0- No delay
539833,374007,mobile,ended,-65.0,,,0- No delay
539975,408927,mobile,ended,-103.0,,,0- No delay
540023,401021,mobile,ended,-9.0,,,0- No delay
523247,379181,mobile,ended,-8.0,,,0- No delay
522848,361156,mobile,ended,-5.0,,,0- No delay
521058,359045,connect,ended,-36.0,,,0- No delay
530799,407101,mobile,ended,-25.0,,,0- No delay
572389,203963,connect,ended,-32.0,,,0- No delay
574492,316567,mobile,ended,-17.0,,,0- No delay
525650,402466,mobile,ended,-161.0,,,0- No delay
524141,245730,mobile,ended,-6.0,,,0- No delay
540159,241021,connect,ended,-204.0,,,0- No delay
540269,403153,mobile,ended,-134.0,537244.0,660.0,0- No delay
540309,194458,mobile,ended,-20.0,,,0- No delay
540325,287500,mobile,ended,-20.0,,,0- No delay
532075,303379,mobile,ended,-126.0,,,0- No delay
